Number,City,State Abbreviation,State,Total number of Tweets made over 6 years,Prevalence of Racism in % (x 10^-2),Average Number of All Hate Crimes*,Total RHC** Numbers across 6 years,Average RHC over pop. in % (x 10^-3),RHC normalized over all HC,Proportion of Racism that is Targeted,Targeted Racism in % (x 10^-2),Self-narration Racism in % (x 10^-2),White in %,Black in %,Asian in %,Hisp/Latino in %,Foreign born in %,non-English lang in %,Owner-occupied houses in %,Median house price in $,Bachelors in %,Median income in $,Below poverty in %,Avg. time to work in minutes,Population density (people per sq.mile),Female in %,Age-18 to 64 in %
21,Lakewood Township,NJ,New Jersey,116490,0.876,17.5,32,8.48445,0.305,0.5822,0.5100072,0.3659928,91,3.7,0.8,16.5,13.2,28.3,48.4,297000,26.9,42993,31.5,22.9,3777.6,50.4,43.7
22,Memphis,TN,Tennessee,6157451,1.842,22.83,62,2.0712,0.453,0.251258578,0.4628183,1.3791817,29.6,63.6,1.5,6.8,6.1,9.4,47.9,93700,25.1,36975,27.6,21.7,2053.3,52.3,63.4
23,Lincoln,NE,Nebraska,2343821,8.877,14.17,66,6.39312,0.776,0.65332395,5.7995567,3.0774433,85.8,4.3,4.4,7.1,8.1,12,56.5,150200,37.1,51126,15.5,18,2899.4,50,65.3
24,Wichita,KS,Kansas,4230633,4.789,14.33,59,3.30848,0.686,0.261696206,1.25326313,3.535736874,76.2,11.2,5,16.4,10.3,16.9,59.7,120800,28.9,46775,17.1,18.2,2400.4,50.7,61.3
25,Fort Worth,TX,Texas,10313918,3.27,14.33,55,1.37582,0.64,0.445830734,1.4578665,1.8121335,65.2,19.2,3.8,34.1,17.2,33,56.7,131100,27.6,54876,18,26.8,2181.2,51,62.3
26,St. Paul,MN,Minnesota,2628778,4.817,12.5,56,4.90498,0.747,0.580996068,2.79865806,2.018341941,58.6,15.7,17.3,9.4,18.8,28.3,49.5,178400,40,50820,21.6,23.4,5484.3,50.6,65.2
27,San Jose,CA,California,7782915,11.31,15.33,43,0.90415,0.467,0.308290699,3.4867678,7.8232322,42.2,3.1,34.1,32.6,38.9,56.5,57.1,658000,40.2,90303,10.9,28.5,5358.7,49.6,65.1
28,Riverside,CA,California,3919795,12.27,11,48,3.98816,0.727,0.397631081,4.87893336,7.391066641,64.8,6,6.9,52,22.4,41.6,54.5,286600,22.6,58979,17.8,29.9,3745,50.4,65.1
29,Houston,TX,Texas,37778690,5.132,11.5,30,0.4614,0.435,0.287171668,1.473765,3.658235,58.3,22.8,6.7,44.3,29,48,43.2,140300,31.2,47010,21.9,26.8,3501.5,49.9,64.9
30,Warren,OH,Ohio,430126,2.624,10.33,47,9.63202,0.758,0.657725526,1.72587178,0.89812822,66.8,29,0.3,2.6,1.4,3.5,51.2,61200,12.8,29176,34.9,19.6,2576.9,51.8,59
31,Cambridge,MA,Massachusetts,1459463,3.267,16.33,54,9.50728,0.551,0.439630395,1.4362725,1.8307275,67.1,10.7,15.2,8.5,27.4,31.7,36.9,629700,74.9,83122,14,25.2,16470.2,51.2,77.1
32,Pittsburgh,PA,Pennsylvania,5394580,4.093,9.33,43,3.50968,0.768,0.301935243,1.23582095,2.857179045,66.3,24.3,5.5,2.8,8.5,10.8,47.7,100800,40.7,42450,22.3,23.5,5521.4,51.1,70.2
33,Oakland,CA,California,4021481,3.792,9,24,1.89555,0.444,0.379109612,1.43758365,2.354416349,38.2,24.7,16,26.7,27.3,40.3,39.6,500500,39.7,57778,20,31,7004,51.2,67.4
34,Dallas,TX,Texas,16030970,4.299,11.83,26,0.58017,0.366,0.348646388,1.49883082,2.80016918,61,24.6,3.3,41.5,24.3,43,41.9,142600,31,45215,22.9,26.3,3517.6,50.3,64.8
35,Philadelphia,PA,Pennsylvania,25702933,3.446,13.83,56,0.61212,0.675,0.412615168,1.42187187,2.02412813,41.3,42.9,6.9,13.8,13.1,22.4,52.4,147300,26.3,39770,25.9,32.7,11379.5,52.7,65.3
36,Neptune Township,NJ,New Jersey,363470,0.89,11.33,48,38.119,0.706,0.793196596,0.70594497,0.18405503,54.2,35.4,2.5,9.7,13.6,15.3,64.4,296100,29.8,64582,10.9,24.9,3414.2,52.5,63.3
37,Albuquerque,NM,New Mexico,4011871,10.903,13.5,37,1.5075,0.457,0.301499761,3.28725189,7.615748108,72.1,3.3,2.6,47.9,10.4,29.4,59.3,185400,33.8,48127,18.9,21.1,2907.6,51.3,63.1
38,Dearborn,MI,Michigan,1115966,3.949,9,32,8.3012,0.593,0.534423363,2.11043786,1.83856214,90.3,3.9,1.9,3.1,27.3,49,65.7,112200,28.9,48421,29.1,20.4,4051.7,51.4,58.5
39,Madison,WI,Wisconsin,1108849,1.566,10.83,39,3.63556,0.6,0.327112024,0.51225743,1.053742571,78.7,7,8.6,6.5,11,15.6,47.6,217000,56.3,56464,18.6,19.2,3037,50.7,72.1
40,Fresno,CA,California,4419769,4.569,7.5,28,1.54881,0.622,0.547564839,2.50182375,2.067176254,54.2,8.1,13.4,48.6,20.7,42.8,46.5,187500,20.5,41842,30,21.6,4418.3,50.9,60.5
41,Bloomington,IN,Indiana,853163,3.128,7.33,29,9.36513,0.659,0.498654594,1.55979157,1.56820843,81.5,4.3,9.6,4.1,12.3,15.4,34.8,172100,56.5,31254,38,16,3472,50.3,80.1
42,Avondale,AZ,Arizona,991029,1.874,3.67,10,3.17045,0.454,0.234310955,0.43909873,1.43490127,71.9,11,3.5,50.3,14.8,36.9,53.1,160600,19.2,56120,17.6,27.5,1672,50.7,62.4
43,Jacksonville,FL,Florida,7391282,4.601,4.17,12,3.10785,0.48,0.287716531,1.32378376,3.27721624,59.7,30.7,4.5,8.8,9.9,13.8,57.9,140000,27,48256,17,24.2,1100.1,51.7,64.3
